province,district,us,orgUnit
Manica,Sussundenga,CS Sembezea,IVMLAFPrwB1
Sofala,Caia,CS Sena,wqEd97U0K52
Sofala,Nhamatanda,CS Siluvo CSRII,O7hrmPQMkpC
Manica,Sussundenga,CS Sussundenga-Sede,hzMMspjctBN
Sofala,Nhamatanda,CS Tica CSRII,TDmBoHHdXcU
Tete,Angonia,CS Ulongue,sPZW2VMVI6B
Manica,Vanduzi,CS Vandúzi,KImmzT8DzJ7
Manica,Cidade de Chimoio,CS Vila Nova,lR0tDnUzHdB
Manica,Macate,CS Zembe Centro,JCaOI2EWde3
Tete,Moatize,CS Zóbue,xIElA3ybQ9K
Sofala,Cidade da Beira,HC Beira,UuulAHWKfk9
Sofala,Caia,HD Caia,p798JDcqmrc
Manica,Barue,HD Catandica,omMGWeMjO27
Manica,Mossurize,HD Espungabera,A4fQVrJD7Zd
Manica,Manica,HD Manica,lT5Qs9ETV9s
Manica,Cidade de Chimoio,HP Chimoio,oUykqIIWuIb
Niassa,Cidade de Lichinga,HP Lichinga,VKP8A0OwApk
Tete,Cidade de Tete,HP Tete,cXKrZBbUhrD
Sofala,Buzi,HR Buzi Sede,a4N0oupiD9t
Niassa,Cuamba,HR Cuamba,qZAR8aTw3ok
Sofala,Cheringoma,HR Inhaminga,qBXL4ozcMHG
Sofala,Marromeu,HR Marromeu,zQrQsbs6EHX
Tete,Mutarara,HR Mutarara,jrv5B2suUiV
Sofala,Chibabava,HR Muxungue,LWmmJvxx1Gu
Sofala,Nhamatanda,HR Nhamatanda Sede,bOa7m01wjCc
Tete,Cahora Bassa,HR Songo,IMtx8G5tq4u
Tete,Angonia,HR Ulongue,lO1ZOpovYiZ
